C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,039_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolQu,ench_012_.,asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
11931,2057.264404,849.8,-4905.15,629.7,49.05,16.3388,0.6825,-0.0004,-20,-20,5.4634,33.35
11932,2057.271973,849.8,-4905.49,628.3,49.05,16.3012,0.6825,-0.0005,-20,-20,5.4635,33.32
11933,2057.279785,849.8,-4905.49,625.5,49.05,16.2281,0.6825,-0.0005,-20,-20,5.4636,33.35
11934,2057.287354,849.9,-4905.43,622.6,49.05,16.1553,0.6825,-0.0006,-20,-20,5.4636,33.23
11935,2057.295166,849.9,-4905.1,620.1,49.05,16.0906,0.6825,-0.0006,-20,-20,5.4637,33.27
11936,2057.302734,849.9,-4905.15,618.4,49.05,16.0466,0.6825,-0.0005,-20,-20,5.4638,33.21
11937,2057.310547,849.9,-4905.1,615.7,49.05,15.9773,0.6825,-0.0006,-20,-20,5.4638,33.22
11938,2057.318359,849.9,-4905.43,613.6,49.05,15.9215,0.6825,-0.0003,-20,-20,5.4639,33.25
11939,2057.325928,849.9,-4904.88,610.3,49.05,15.8356,0.6824,-0.0004,-20,-20,5.464,33.07
11940,2057.33374,850,-4905.15,608.3,49.05,15.7836,0.6825,-0.0003,-20,-20,5.4641,33.09
11941,2057.341309,850.1,-4905.26,606.9,49.05,15.7467,0.6825,-0.0005,-20,-20,5.4641,32.97
11942,2057.349121,850.2,-4905.32,603.9,49.05,15.6698,0.6825,-0.0003,-20,-20,5.4642,32.91
11943,2057.356689,850.1,-4905.04,601.7,49.05,15.6122,0.6825,-0.0004,-20,-20,5.4643,33.08
11944,2057.364502,850,-4905.04,600.3,49.05,15.5757,0.6825,-0.0003,-20,-20,5.4643,33.03
11945,2057.37207,850.1,-4905.21,597.3,49.05,15.4985,0.6825,-0.0004,-20,-20,5.4644,33.06
11946,2057.379883,850,-4904.99,596.2,49.05,15.4699,0.6824,-0.0006,-20,-20,5.4645,33.11
11947,2057.387451,850,-4905.49,592.5,49.05,15.3735,0.6825,-0.0005,-20,-20,5.4646,33.05
11948,2057.395264,850,-4904.93,591.2,49.05,15.3422,0.6824,-0.0007,-20,-20,5.4646,32.95
11949,2057.403076,850.1,-4904.93,587.9,49.05,15.2546,0.6824,-0.0005,-20,-20,5.4647,32.92
11950,2057.410645,850,-4904.88,585.3,49.05,15.189,0.6824,-0.0006,-20,-20,5.4648,33.07
11951,2057.418457,850.1,-4904.88,584.2,49.05,15.1598,0.6824,-0.0005,-20,-20,5.4648,33.13
11952,2057.426025,850,-4905.21,581,49.05,15.0748,0.6825,-0.0005,-20,-20,5.4649,32.99
11953,2057.433838,850,-4904.77,578,49.05,14.9994,0.6824,-0.0003,-20,-20,5.465,33.11
11954,2057.441406,850,-4904.71,577.3,49.05,14.9813,0.6824,-0.0002,-20,-20,5.4651,33.09
11955,2057.449219,850,-4904.77,574.5,49.05,14.908,0.6824,-0.0003,-20,-20,5.4651,32.92
11956,2057.456787,850,-4904.71,571.7,49.05,14.8351,0.6824,-0.0002,-20,-20,5.4652,33.02
