C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,058_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolPo,werOff_010_,.asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
106,51.720619,228.4,16.61,2.4,-0.17,0.1239,0,0,-20,-20,24.7692,18.69
107,52.274918,231.4,16.91,3.6,-0.17,0.1813,0,0,-20,-20,24.7692,18.72
108,52.82732,234,17.2,2.3,-0.17,0.1167,0,0,-20,-20,24.7692,18.82
109,53.381588,236.9,17.62,3.3,-0.18,0.167,0,0,-20,-20,24.7692,18.98
110,53.933926,239.7,17.87,2,-0.18,0.1023,0,0,-20,-20,24.7692,18.88
111,54.488335,242.4,18.18,3,-0.18,0.1526,0,0,-20,-20,24.7692,19.19
112,55.04068,245.3,18.53,2.9,-0.19,0.1455,0,0,-20,-20,24.7692,19.14
113,55.594891,248,18.83,2.9,-0.19,0.1455,0,0,-20,-20,24.7692,19.39
114,56.147423,250.7,19.18,3,-0.19,0.1526,0,0,-20,-20,24.7692,19.51
115,56.701843,253.5,19.36,2.9,-0.19,0.1455,0,0,-20,-20,24.7692,19.53
116,57.254158,256.1,19.72,2.3,-0.2,0.1167,0,0,-20,-20,24.7692,19.62
117,57.808289,259,19.9,2.9,-0.2,0.1455,0,0,-20,-20,24.7693,19.63
118,58.360729,261.8,20.17,2.7,-0.2,0.1383,0,0,-20,-20,24.7692,19.87
119,58.915138,264.5,20.4,2.9,-0.2,0.1455,0,0,-20,-20,24.7692,20.02
120,59.46751,267.3,20.75,2.9,-0.21,0.1455,0,0,-20,-20,24.7692,19.87
121,60.021732,270.1,21.04,2.7,-0.21,0.1383,0,0,-20,-20,24.7692,19.96
122,60.574253,272.7,21.37,2.6,-0.21,0.1311,0,0,-20,-20,24.7693,20.02
123,61.128349,275.4,21.56,2.4,-0.22,0.1239,0,0,-20,-20,24.7693,20.36
124,61.680874,278.6,21.85,1.6,-0.22,0.0808,0,0,-20,-20,24.7692,20.12
125,62.235115,281.1,22.03,2.7,-0.22,0.1383,0,0,-20,-20,24.7692,20.25
126,62.787403,283.9,22.29,2.7,-0.22,0.1383,0,0,-20,-20,24.7692,20.47
